epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,43.2617,1.23492,2.75087,1.5513,0.00371,0.5273,0.00317,0.001,3.12899,inf,17.881,0.000468772,0.000468772,0.000468772
2,88.4639,1.69117,2.73815,1.89359,0.00025,0.0468,0.00014,4e-05,nan,nan,nan,0.000926393,0.000926393,0.000926393
3,137.776,1.76002,2.85035,1.95676,0.01939,0.21667,0.0137,0.00392,2.71478,inf,4.83592,0.00136515,0.00136515,0.00136515
4,185.466,1.62386,2.70321,1.8735,0.00881,0.18919,0.00581,0.00171,3.00158,65.8005,4.8013,0.00134412,0.00134412,0.00134412
5,232.849,1.62153,2.65719,1.85857,0.10943,0.19645,0.05665,0.01594,2.79743,7.47499,4.37118,0.00131582,0.00131582,0.00131582
6,280.555,1.52293,2.49255,1.77205,0.19808,0.43753,0.19263,0.10982,1.58444,3.17089,2.00062,0.00128753,0.00128753,0.00128753
7,328.769,1.4635,2.42463,1.75093,0.11705,0.23385,0.07952,0.03294,2.15834,3.81692,2.53096,0.00125923,0.00125923,0.00125923
8,375.883,1.42148,2.32912,1.70542,0.21836,0.43609,0.21862,0.12603,1.39824,2.27024,1.76793,0.00123094,0.00123094,0.00123094
9,423.233,1.35424,2.32222,1.66197,0.20142,0.43375,0.19797,0.11183,1.4844,2.66153,1.82717,0.00120265,0.00120265,0.00120265
10,470.418,1.35713,2.30247,1.63963,0.23703,0.43733,0.22968,0.13542,1.33529,2.20098,1.6691,0.00117435,0.00117435,0.00117435
11,517.866,1.32876,2.21487,1.63819,0.19789,0.31932,0.14611,0.0762,1.79907,2.66567,2.14276,0.00114606,0.00114606,0.00114606
12,564.73,1.28708,2.17155,1.58498,0.24842,0.53778,0.27422,0.1651,1.3607,2.27959,1.7023,0.00111776,0.00111776,0.00111776
13,612.532,1.27299,2.15328,1.56879,0.2608,0.50278,0.27467,0.17284,1.34068,2.28255,1.69058,0.00108947,0.00108947,0.00108947
14,659.944,1.27931,2.16785,1.59458,0.2576,0.5256,0.2799,0.18081,1.33132,2.1531,1.68185,0.00106118,0.00106118,0.00106118
15,707.619,1.22624,2.1012,1.53943,0.25105,0.4861,0.26236,0.1543,1.382,2.13527,1.72225,0.00103288,0.00103288,0.00103288
16,754.645,1.19546,2.02232,1.53127,0.27824,0.53573,0.3105,0.21316,1.19196,1.95803,1.53526,0.00100459,0.00100459,0.00100459
17,802.198,1.14335,1.96473,1.49259,0.26315,0.52368,0.27602,0.18203,1.10067,2.01388,1.46976,0.000976293,0.000976293,0.000976293
18,849.428,1.11145,1.96125,1.48553,0.2608,0.5732,0.29006,0.18452,1.14491,2.00227,1.51911,0.000947999,0.000947999,0.000947999
19,896.265,1.16195,2.00246,1.50322,0.25382,0.59308,0.30334,0.20683,1.08313,1.86802,1.47702,0.000919704,0.000919704,0.000919704
20,943.173,1.12029,1.92865,1.48308,0.28111,0.52272,0.30197,0.20931,1.07894,1.94475,1.45826,0.00089141,0.00089141,0.00089141
21,990.016,1.14367,1.93624,1.48711,0.31541,0.5696,0.3612,0.24543,1.06946,1.81914,1.43623,0.000863116,0.000863116,0.000863116
22,1037.08,1.01816,1.82528,1.39602,0.32774,0.57607,0.36523,0.2607,1.00069,1.72825,1.40014,0.000834822,0.000834822,0.000834822
23,1084.4,1.06807,1.8842,1.4173,0.32192,0.55471,0.35836,0.25998,1.00377,1.79207,1.41724,0.000806528,0.000806528,0.000806528
24,1131.48,1.04568,1.81613,1.41829,0.3704,0.51734,0.36293,0.25761,1.00646,1.66932,1.38406,0.000778233,0.000778233,0.000778233
25,1178.18,0.99855,1.81659,1.39714,0.35401,0.5297,0.37834,0.27322,1.03009,1.75583,1.42807,0.000749939,0.000749939,0.000749939
26,1225.73,1.03923,1.77467,1.4259,0.35736,0.58655,0.38562,0.27453,0.96394,1.61882,1.33859,0.000721645,0.000721645,0.000721645
27,1272.47,1.00576,1.76869,1.39217,0.38999,0.58052,0.39711,0.29269,0.94013,1.56364,1.3354,0.000693351,0.000693351,0.000693351
28,1319.63,0.99851,1.67703,1.39003,0.40701,0.54588,0.39095,0.27204,0.99194,1.61604,1.39567,0.000665057,0.000665057,0.000665057
29,1365.96,0.9525,1.64434,1.36827,0.37947,0.5915,0.41827,0.30594,0.91946,1.58516,1.32833,0.000636762,0.000636762,0.000636762
30,1413.07,0.94151,1.6787,1.34851,0.38004,0.60076,0.42667,0.31504,0.93435,1.54418,1.32627,0.000608468,0.000608468,0.000608468
31,1459.86,0.95648,1.63432,1.34972,0.45671,0.57741,0.4695,0.35026,0.86943,1.44584,1.28514,0.000580174,0.000580174,0.000580174
32,1507.02,0.94877,1.63174,1.34525,0.40991,0.61213,0.44141,0.33016,0.88302,1.49975,1.2906,0.00055188,0.00055188,0.00055188
33,1553.63,0.9444,1.61717,1.34955,0.42004,0.60576,0.46867,0.34991,0.90255,1.51315,1.30877,0.000523586,0.000523586,0.000523586
34,1600.67,0.90418,1.58643,1.3119,0.40969,0.60066,0.45705,0.33469,0.8898,1.50286,1.29644,0.000495291,0.000495291,0.000495291
35,1647.38,0.89681,1.51499,1.30754,0.47142,0.58406,0.50633,0.37882,0.85774,1.42761,1.26765,0.000466997,0.000466997,0.000466997
36,1694.73,0.92458,1.52663,1.33367,0.44976,0.60734,0.50366,0.38122,0.88063,1.39985,1.28318,0.000438703,0.000438703,0.000438703
37,1742.15,0.9378,1.49949,1.35697,0.44355,0.58457,0.50393,0.38057,0.83311,1.41554,1.26974,0.000410409,0.000410409,0.000410409
38,1788.7,0.90862,1.52418,1.32508,0.45545,0.60302,0.5179,0.38615,0.86643,1.42192,1.26752,0.000382115,0.000382115,0.000382115
39,1836.47,0.90046,1.46696,1.29123,0.45402,0.62251,0.5218,0.39394,0.83195,1.39244,1.2512,0.00035382,0.00035382,0.00035382
